table_id,verb_root,comments
74,זהר,
74,זעק,
74,לחם,
74,לחץ,
74,לחש,
74,לעס,
74,מאס,
74,מהל,
74,מחל,
74,מחץ,
74,מחק,
74,מעך,
74,נעל,
74,נעץ,
74,סחב,
74,סחט,
74,סחף,
74,סחר,
74,פער,
74,שאב,
74,שאל,
74,שאר,
74,שחט,
74,שחק,
75,בחן,
75,טחן,
75,שען,
76,שמע,
76,בלע,
76,בקע,
76,גדע,
76,דרע,
76,זרע,
76,טבח,
76,טמע,
76,כנע,
76,לקח,
76,מנע,
76,מרח,
76,משח,
76,מתח,
76,סלח,
76,פגע,
76,פצע,
76,פקח,
76,פרע,
76,פתח,
76,צבע,
76,קבע,
76,קדח,
76,קרע,
76,שבע,
76,שכח,
76,שלח,
76,תבע,
76,תקע,
77,קרא,
77,ברא,
77,טמא,
77,כלא,
77,מלא,
77,מצא,
77,רפא,
78,בנה,
78,דמה,
78,כוה,
78,כפה,
78,כרה,
78,לוה,
78,מנה,
78,משה,
78,ספה,
78,פדה,
78,צלה,
78,קלה,
78,קנה,
78,שבה,
78,תלה,
79,ראה,
80,דחה,
81,נצל,
81,נגף,
81,נתז,
81,נתך,
82,נתן,
83,נשא,
83,נבא,
84,ילד,
84,יסד,
84,יסף,
84,יצר,
84,יתר,
85,יעד,
85,יאש,
85,יעץ,
86,ידע,
86,יכח,
86,ישע,
87,ירה,
88,דון,
88,זון,
88,מול,
89,סוג,
89,מוג,
89,פוץ,
90,מסס,
91,דבר,
91,אבד,
91,אבק,
91,אגד,
91,אגף,
91,אים,
91,איר,
91,איש,
91,אכל,
91,אלף,
91,אלץ,
91,אמץ,
91,אפס,
91,אשר,
91,אתר,
91,בדר,
91,בטל,
91,ביל,
91,בים,
91,ביש,
91,בכר,
91,בסס,
91,בצר,
91,בקר,
91,בקש,
91,בשל,
91,בשם,
91,בשר,
91,בתק,
91,בתר,
91,גבב,
91,גבש,
91,גדל,
91,גדף,
91,גדר,
91,גיס,
91,גיר,
91,גלם,
91,גלף,
91,גמד,
91,גפף,
91,גשר,
91,גשש,
91,דיק,
91,דלג,
91,דלל,
91,דמם,
91,הגר,
91,הדק,
91,הלל,
91,המם,
91,הסס,
91,ותר,
91,זבל,
91,זוג,
91,זיף,
91,זכך,
91,זמר,
91,זנק,
91,זקק,
91,חבב,
91,חבל,
91,חבק,
91,חבר,
91,חדד,
91,חדש,
91,חזק,
91,חזר,
91,חטט,
91,חיב,
91,חיך,
91,חיל,
91,חכך,
91,חלל,
91,חלץ,
91,חלק,
91,חמם,
91,חמש,
91,חנך,
91,חסל,
91,חסם,
91,חסר,
91,חפש,
91,חשב,
91,חשל,
91,חתל,
91,טיל,
91,טנף,
91,טפל,
91,טפס,
91,יבב,
91,יבש,
91,ילד,
91,ילל,
91,יסד,
91,יסר,
91,יצב,
91,יצג,
91,יצר,
91,יקר,
91,ישב,
91,ישר,
91,כבד,
91,כבס,
91,כוץ,
91,כזב,
91,כנס,
91,כפר,
91,כשף,
91,כתר,
91,לבב,
91,לטף,
91,לטש,
91,לכד,
91,למד,
91,לפף,
91,לקט,
91,לקק,
91,מגר,
91,מלט,
91,ממש,
91,מקד,
91,מקם,
91,מקש,
91,משש,
91,נגב,
91,נדב,
91,נוט,
91,נכש,
91,נמק,
91,נסר,
91,נפץ,
91,נצל,
91,נצר,
91,נקב,
91,נקד,
91,נקז,
91,נקר,
91,נשל,
91,נשק,
91,נתץ,
91,נתק,
91,נתר,
91,סבך,
91,סגל,
91,סדר,
91,סוג,
91,סיד,
91,סים,
91,סיר,
91,סכל,
91,סכם,
91,סלף,
91,סלק,
91,סמל,
91,סמם,
91,ספק,
91,ספר,
91,סקל,
91,סקר,
91,עבד,
91,עבר,
91,עגל,
91,עור,
91,עטר,
91,עיף,
91,עכב,
91,עכל,
91,עלף,
91,עמם,
91,ענג,
91,עצב,
91,עקל,
91,עקם,
91,עקר,
91,פגר,
91,פזז,
91,פזם,
91,פזר,
91,פטם,
91,פטר,
91,פיס,
91,פלג,
91,פלס,
91,פנק,
91,פסל,
91,פסק,
91,פצל,
91,פקד,
91,פשט,
91,פשק,
91,פשר,
91,פתל,
91,צדד,
91,צטט,
91,ציד,
91,ציץ,
91,ציר,
91,צלם,
91,צמק,
91,קבל,
91,קבץ,
91,קדם,
91,קדש,
91,קים,
91,קלל,
91,קלף,
91,קמט,
91,קמץ,
91,קפד,
91,קפל,
91,קפץ,
91,קצץ,
91,קצר,
91,קשט,
91,קשר,
91,רגל,
91,רגש,
91,רדד,
91,רטש,
91,רכז,
91,רכך,
91,רכל,
91,רסס,
91,רסק,
91,רפד,
91,רצד,
91,רצף,
91,רקד,
91,רתך,
91,רתק,
91,שבץ,
91,שבר,
91,שבש,
91,שגר,
91,שדך,
91,שדל,
91,שדר,
91,שוק,
91,שיך,
91,שלב,
91,שלם,
91,שלש,
91,שמר,
91,שמש,
91,שפץ,
91,שפר,
91,שקם,
91,שקף,
91,שקר,
91,שתף,
91,שכל,
91,תבל,
91,תוך,
91,תיג,
91,תיק,
91,תיר,
92,וסת,
92,אמת,
92,בית,
92,זפת,
92,סתת,
92,עות,
92,עמת,
92,צית,
93,שחק,
93,אחד,
93,אחל,
93,בער,
93,גהץ,
93,גהק,
93,גחך,
93,זהם,
93,טהר,
93,יחד,
93,יחל,
93,יחס,
93,יעד,
93,יעל,
93,יעץ,
93,יער,
93,כער,
93,מהר,
93,מעט,
93,נהל,
93,נחם,
93,נחש,
93,נער,
93,פהק,
93,פחת,
93,צער,
93,רהט,
93,רחם,
93,רחף,
93,שחד,
93,שער,
93,תעב,
93,תעד,
93,תעש,
94,נצח,
94,בדח,
94,בטח,
94,בצע,
94,בקע,
94,גלח,
94,דוח,
94,טבע,
94,טוח,
94,טיח,
94,טפח,
94,יגע,
94,כסח,
94,נסח,
94,נפח,
94,נצח,
94,נתח,
94,סיע,
94,ספח,
94,פלח,
94,פצח,
94,פקח,
94,פתח,
94,קנח,
94,קפח,
94,רבע,
94,רוח,
94,שבח,
94,שגע,
94,שטח,
94,שלח,
94,שסע,
94,שמח,
95,מלא,
95,בטא,
95,דכא,
95,ודא,
95,חטא,
95,טמא,
95,יבא,
95,יצא,
95,סמא,
95,קנא,
95,רפא,
96,עשן,
96,אבן,
96,אזן,
96,אמן,
96,גבן,
96,גון,
96,גנן,
96,דשן,
96,זמן,
96,חסן,
96,חתן,
96,טגן,
96,כהן,
96,כון,
96,לבן,
96,מין,
96,מכן,
96,ממן,
96,מתן,
96,נגן,
96,סבן,
96,סכן,
96,סמן,
96,סנן,
96,עדן,
96,עין,
96,צין,
96,צנן,
96,קנן,
96,רסן,
96,שכן,
96,שמן,
96,שנן,
96,תקן,
97,אחר,
98,ברך,
98,באר,
98,ברר,
98,גרד,
98,גרש,
98,דרג,
98,זרז,
98,יאש,
98,ירט,
98,מרק,
98,מרר,
98,סרב,
98,סרס,
98,סרק,
98,ערב,
98,פאר,
98,פרז,
98,פרט,
98,פרק,
98,פרש,
98,צרף,
98,קרב,
98,קרר,
98,שרש,
98,תאם,
98,תאר,
98,תרץ,
99,שרת,
100,מאן,
101,ארח,
102,גרה,
103,חכה,
103,אדה,
103,בזה,
103,בכה,
103,בלה,
103,גלה,
103,גנה,
103,דדה,
103,דמה,
103,הסה,
103,זכה,
103,חפה,
103,חקה,
103,יפה,
103,כבה,
103,כלה,
103,כנה,
103,כסה,
103,לבה,
103,לוה,
103,מנה,
103,מצה,
103,נכה,
103,נסה,
103,נפה,
103,נקה,
103,עבה,
103,עוה,
103,ענה,
103,עסה,
103,פנה,
103,פצה,
103,פתה,
103,צוה,
103,צפה,
103,קוה,
103,רוה,
103,רמה,
103,רצה,
103,שנה,
103,שסה,
104,זהה,
104,אחה,
105,צלצל,
105,אורר,
105,אכזב,
105,אכלס,
105,אלתר,
105,אמלל,
105,אפשר,
105,אקלם,
105,אשפז,
105,בזבז,
105,בלבל,
105,בצבץ,
105,גלגל,
105,גמגם,
105,גרגר,
105,דגדג,
105,דכדך,
105,דלדל,
105,דפדף,
105,דקדק,
105,דקלם,
105,דרדר,
105,דשדש,
105,הפנט,
105,זלזל,
105,זמזם,
105,חספס,
105,חשמל,
105,טלטל,
105,טמטם,
105,טפטף,
105,טרטר,
105,טרפד,
105,טשטש,
105,כדרר,
105,כלכל,
105,כפתר,
105,כרסם,
105,כשכש,
105,לבלב,
105,לגלג,
105,לכלך,
105,מגנט,
105,מלמל,
105,מספר,
105,מצמץ,
105,נדנד,
105,נטרל,
105,נמנם,
105,נפנף,
105,נצנץ,
105,סחרר,
105,סכסך,
105,סלסל,
105,סנור,
105,ספסר,
105,סרבל,
105,ערבב,
105,ערטל,
105,ערפל,
105,פטפט,
105,פקפק,
105,פרזל,
105,פרנם,
105,פרסם,
105,פרפר,
105,צמצם,
105,צפצף,
105,קטלג,
105,קלקל,
105,קנטר,
105,קרצף,
105,קרקר,
105,קשקש,
105,שחזר,
105,שחרר,
105,שכלל,
105,שכפל,
105,שלשל,
105,שעבד,
105,שעמם,
105,שפשף,
105,שקשק,
105,שרבב,
105,שגשג,
105,שרטט,
105,תגבר,
105,תדלק,
105,תדרך,
105,תזמר,
105,תחבל,
105,תחכם,
105,תחקר,
105,תסבך,
105,תסכל,
105,תפקד,
105,תקצב,
105,תקתק,
105,תרגל,
105,תרגם,
106,הרהר,
106,בנאם,
106,הבהב,
106,הדהד,
106,חלחל,
106,חרחר,
106,עפעף,
106,ערער,
106,שלהב,
